,name,Clothes,Ears,Eyes,Fur,Hat,Mouth,asset_id,trait_n,Clothes_rarity,Ears_rarity,Eyes_rarity,Fur_rarity,Hat_rarity,Mouth_rarity,trait_n_rarity,factoral_rarity,rarity_rank
2792,ApeGang #8603,Cop,,Eye Patch,Strong Dark Brown,Propeller,Snake,3491,5,0.0245,0.7565,0.0336,0.1097,0.0184,0.033,0.2848,169.17797098558182,2852
2793,ApeGang #1626,Hotel Porter,,Scar,Strong Dark Brown,Stuntman Helmet,Shocked,3491,5,0.0228,0.7565,0.0347,0.1097,0.0197,0.0316,0.2848,169.03396716996969,2863
2794,ApeGang #4686,White Tank Top,,Gold Sunglasses,Cream,Military Helmet,Snake,3491,5,0.0224,0.7565,0.0471,0.0845,0.0178,0.033,0.2848,169.0245177792105,2864
2795,ApeGang #189,Prison Jumpsuit,,Albino,Black,Red NBA Headband,,3491,4,0.0238,0.7565,0.017,0.0868,0.0202,0.3141,0.3968,168.89176177121882,2876
2796,ApeGang #4961,Magician,,Albino,Red Devil,,,3491,3,0.0277,0.7565,0.017,0.0162,0.3096,0.3141,0.2239,168.85483777949707,2878
2797,ApeGang #4055,,,Blind,Brown,Military Helmet,Grin Gold,3491,4,0.2202,0.7565,0.0144,0.4242,0.0178,0.0309,0.3968,168.72742229023837,2890
2798,ApeGang #6137,Grey Striped T-Shirt,,Robot Glasses,Brown,Headphone,Grin Gold,3491,5,0.0259,0.7565,0.0249,0.4242,0.02,0.0309,0.2848,168.32363234273674,2922
2799,ApeGang #2635,Black Suit,,Albino,Brown,Military Helmet,,3491,4,0.0231,0.7565,0.017,0.4242,0.0178,0.3141,0.3968,167.67646439223583,2986
2800,ApeGang #6369,Military,Bluetooth Earpiece,,Strong Dark Brown,Sombrero,Covid Mask,3491,5,0.0227,0.052,0.3104,0.1097,0.0185,0.029,0.2848,167.66910106381744,2988
2801,ApeGang #7828,Black Tank Top,Bluetooth Earpiece,Bruised,Zebra,Brain,,3491,5,0.0227,0.052,0.0345,0.0481,0.0209,0.3141,0.2848,167.60098606927056,2996
2802,ApeGang #3560,Lab Coat,,Bruised,Brown,Green Beanie,Bubble Gum,3491,5,0.0242,0.7565,0.0345,0.4242,0.0166,0.028,0.2848,173.45356248116246,2523
2803,ApeGang #6358,Red NBA Jersey,,Sad,Strong Dark Brown,Military Helmet,Smoke Pipe,3491,5,0.0248,0.7565,0.0322,0.1097,0.0178,0.0311,0.2848,173.66148068626902,2509
2804,ApeGang #2500,Indian,,Bruised,Brown,Purple Beanie,Joint,3491,5,0.0231,0.7565,0.0345,0.4242,0.0159,0.0325,0.2848,173.1283546821486,2540
2805,ApeGang #4485,Pimp Coat,,Blind,Strong Dark Brown,Brain,,3491,4,0.0253,0.7565,0.0144,0.1097,0.0209,0.3141,0.3968,172.95853419331777,2552
2806,ApeGang #8701,Groom,Bluetooth Earpiece,Closed,Zebra,Propeller,,3491,5,0.0258,0.052,0.0302,0.0481,0.0184,0.3141,0.2848,172.93582422551137,2556
2807,ApeGang #7142,Red NBA Jersey,,Squinting,Grey,Stuntman Helmet,,3491,4,0.0248,0.7565,0.016,0.0815,0.0197,0.3141,0.3968,172.8796784297916,2562
2808,ApeGang #9188,Black Suit,,Crazy,Strong Dark Brown,Nurse,Grin Gold,3491,5,0.0231,0.7565,0.0346,0.1097,0.0184,0.0309,0.2848,172.8509463310496,2565
2809,ApeGang #3112,Purple Hoodie,,Closed,Brown,War Bonnet,Tongue Out,3491,5,0.0232,0.7565,0.0302,0.4242,0.0174,0.0316,0.2848,172.52335666087973,2586
2810,ApeGang #626,Groom,,Hippie Glasses,Strong Dark Brown,Halo,Beard,3491,5,0.0258,0.7565,0.0341,0.1097,0.0173,0.0309,0.2848,172.2000141770576,2614
2811,ApeGang #7728,Blue Hoodie,,,Strong Dark Brown,Cowboy,Joker,3491,4,0.0233,0.7565,0.3104,0.1097,0.0184,0.0171,0.3968,171.92527130920197,2636
2812,ApeGang #5595,Sheriff,Silver Hoop,Round Glasses,Zebra,Brown Beanie,,3491,5,0.0245,0.0482,0.0348,0.0481,0.0187,0.3141,0.2848,171.25973871405031,2690
2813,ApeGang #6144,Hippie,,Closed,Brown,Top Hat,Yawn,3491,5,0.0247,0.7565,0.0302,0.4242,0.0168,0.0329,0.2848,170.7078506583876,2733
2814,ApeGang #1881,Joker,,,Grey,Purple Beanie,,3491,3,0.012,0.7565,0.3104,0.0815,0.0159,0.3141,0.2239,170.68985934248875,2736
2815,ApeGang #5958,Sheriff,,Round Glasses,Strong Dark Brown,Sombrero,Mustache,3491,5,0.0245,0.7565,0.0348,0.1097,0.0185,0.0302,0.2848,170.6674788531093,2740
2816,ApeGang #6690,Purple Hoodie,,Albino,Cream,Red NBA Headband,,3491,4,0.0232,0.7565,0.017,0.0845,0.0202,0.3141,0.3968,170.2919855238301,2764
2817,ApeGang #9804,Sheriff,,Bruised,Tiger,Magician,Flames,3491,5,0.0245,0.7565,0.0345,0.0517,0.0213,0.0341,0.2848,170.25117656936249,2766
2818,ApeGang #4807,Black Tank Top,,,White,Hotel Porter,Mustache,3491,4,0.0227,0.7565,0.3104,0.0402,0.0164,0.0302,0.3968,170.0803657045167,2782
2819,ApeGang #2350,Pimp Coat,,Hippie Glasses,Cream,Red NBA Headband,Oh,3491,5,0.0253,0.7565,0.0341,0.0845,0.0202,0.0286,0.2848,169.98862290328645,2787
2820,ApeGang #9373,Purple Hoodie,,Strabismus,Zebra,,Tongue Out,3491,4,0.0232,0.7565,0.0149,0.0481,0.3096,0.0316,0.3968,169.7251451618298,2808
2821,ApeGang #2304,Red Hawaiian Shirt,,Monocle,Cream,Halo,Yawn,3491,5,0.0283,0.7565,0.034,0.0845,0.0173,0.0329,0.2848,169.61349128514306,2818
2822,ApeGang #4089,Purple Hoodie,,Eye Patch,Black,Red NBA Headband,Corn,3491,5,0.0232,0.7565,0.0336,0.0868,0.0202,0.0326,0.2848,169.39900050626125,2835
2823,ApeGang #2903,Hotel Porter,,Albino,Strong Dark Brown,Fisherman,,3491,4,0.0228,0.7565,0.017,0.1097,0.0198,0.3141,0.3968,169.3297371367377,2841
2824,ApeGang #2248,Grey Striped T-Shirt,Airpods,Albino,Strong Dark Brown,,Oh,3491,5,0.0259,0.0475,0.017,0.1097,0.3096,0.0286,0.2848,169.30821496363743,2842
2825,ApeGang #3720,Toga,Silver Hoop,Laser,Black,,Tongue Out,3491,5,0.026,0.0482,0.0167,0.0868,0.3096,0.0316,0.2848,168.99618301200653,2866
2826,ApeGang #4228,Cop,,Hippie Glasses,Cream,Rabbit Ears,Flames,3491,5,0.0245,0.7565,0.0341,0.0845,0.019,0.0341,0.2848,168.76636441805886,2888
2827,ApeGang #5357,Hippie,,Scar,Grey,Headphone,Smoke Pipe,3491,5,0.0247,0.7565,0.0347,0.0815,0.02,0.0311,0.2848,168.56166627035745,2902
2828,ApeGang #1946,Prison Jumpsuit,,Closed,Brown,Groom,Corn,3491,5,0.0238,0.7565,0.0302,0.4242,0.018,0.0326,0.2848,168.5502833009599,2903
2829,ApeGang #4560,Yellow NBA Jersey,,Sad,Cream,Magician,Angry,3491,5,0.0241,0.7565,0.0322,0.0845,0.0213,0.0309,0.2848,168.5279254562816,2907
2830,ApeGang #3818,Military,Silver Hoop,,Grey,Bandana,Drool Rainbow,3491,5,0.0227,0.0482,0.3104,0.0815,0.0186,0.0326,0.2848,168.24086297880928,2931
2831,ApeGang #1602,Grey Striped T-Shirt,Bluetooth Earpiece,Sad,White,Borsalino,,3491,5,0.0259,0.052,0.0322,0.0402,0.021,0.3141,0.2848,168.086313385348,2946
2832,ApeGang #7242,Mexican,,Hippie Glasses,Grey,Laurel,Angry,3491,5,0.0243,0.7565,0.0341,0.0815,0.0208,0.0309,0.2848,168.02021086561103,2953
2833,ApeGang #2111,Sheriff,,Gold Sunglasses,Black,Horn,Oh,3491,5,0.0245,0.7565,0.0471,0.0868,0.0183,0.0286,0.2848,168.01144309180248,2955
2834,ApeGang #9875,Sheriff,Bluetooth Earpiece,,Brown,Purple Beanie,Bubble Gum,3491,5,0.0245,0.052,0.3104,0.4242,0.0159,0.028,0.2848,167.7447272712681,2980
2835,ApeGang #7457,Winter Coat,,Gold Sunglasses,Strong Dark Brown,Green Beanie,Grin Gold,3491,5,0.0251,0.7565,0.0471,0.1097,0.0166,0.0309,0.2848,167.62436666093225,2992
